--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
044.075  000.338  000.026: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
044.093  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
044.102  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
044.355  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
044.365  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
044.993  000.622  000.622: require('mini.ai')
045.337  000.138  000.138: require('mini.move')
045.706  000.311  000.311: require('mini.hipatterns')
046.654  000.862  000.862: require('mini.operators')
047.245  000.170  000.170: require('mini.splitjoin')
047.336  000.005  000.005: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
047.360  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
047.690  000.041  000.041: sourcing /home/freja/.local/share/nvim/lazy/vimtex/plugin/vimtex.vim
047.694  000.067  000.026: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
047.700  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
047.759  000.016  000.016: sourcing /home/freja/.local/share/nvim/lazy/vimtex/ftdetect/cls.vim
047.762  000.036  000.020: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
047.797  000.013  000.013: sourcing /home/freja/.local/share/nvim/lazy/vimtex/ftdetect/tex.vim
047.799  000.032  000.020: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
047.829  000.011  000.011: sourcing /home/freja/.local/share/nvim/lazy/vimtex/ftdetect/tikz.vim
047.831  000.029  000.018: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
047.835  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
050.311  002.023  002.023: sourcing /home/freja/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/plugs.vim
050.683  000.128  000.128: sourcing /home/freja/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/maps.vim
050.839  000.086  000.086: sourcing /home/freja/.local/share/nvim/lazy/vim-visual-multi/autoload/vm/maps/all.vim
051.704  003.635  001.398: sourcing /home/freja/.local/share/nvim/lazy/vim-visual-multi/plugin/visual-multi.vim
051.711  003.660  000.024: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
051.726  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
051.746  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
052.570  000.041  000.041: sourcing /home/freja/.local/share/nvim/lazy/persistent-breakpoints.nvim/plugin/persistent-breakpoints.vim
052.575  000.069  000.027: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
052.581  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
052.591  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
053.091  000.050  000.050: require('persistent-breakpoints.config')
053.095  000.128  000.078: require('persistent-breakpoints.utils')
053.146  000.050  000.050: require('persistent-breakpoints.inmemory')
053.151  000.555  000.376: require('persistent-breakpoints')
053.590  000.107  000.107: require('dap.utils')
053.598  000.307  000.199: require('dap.breakpoints')
053.608  000.396  000.090: require('persistent-breakpoints.api')
053.669  000.004  000.004: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
053.677  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
053.827  000.095  000.095: sourcing /home/freja/.local/share/nvim/lazy/nvim-dap/plugin/dap.lua
053.830  000.117  000.022: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
053.837  000.002  000.002: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
053.845  000.001  000.001: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
054.304  000.048  000.048: require('nio.tasks')
054.350  000.045  000.045: require('nio.control')
054.506  000.154  000.154: require('nio.uv')
054.549  000.041  000.041: require('nio.tests')
054.643  000.055  000.055: require('vim.ui')
054.650  000.099  000.044: require('nio.ui')
054.720  000.037  000.037: require('nio.streams')
054.722  000.071  000.034: require('nio.file')
054.816  000.028  000.028: require('nio.util')
054.904  000.073  000.073: require('vim.iter')
054.927  000.170  000.070: require('nio.logger')
054.931  000.207  000.037: require('nio.lsp')
054.965  000.032  000.032: require('nio.process')
054.973  000.915  000.216: require('nio')
055.166  000.191  000.191: require('dap')
055.482  000.020  000.020: sourcing nvim_exec2() called at /home/freja/.config/nvim/init.lua:0
